particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
18,-13,0,-375.0435072785,538.1056376252,3079.527237422,3079.527237422,-0.5336737979,0.6089790108,506.0787521466,0.1056579998,1
19,32,0,-163.6047445683,355.0580026207,6801.2034263555,6801.2034263555,-0.3060116735,0.6641121188,879.1033958656,0.3548000004,0
19,13,0,-163.6047445683,355.0580026207,6801.2034263555,6801.2034263555,-0.048218931,0.0751324346,250.1072448337,0.1056580001,-1
19,-13,0,-163.6047445683,355.0580026207,6801.2034263555,6801.2034263555,-0.2577927426,0.5889796843,628.9961511604,0.1056580002,1
20,32,0,-464.75012094,188.6611464501,1186.9877120456,1186.9877120456,-0.9643611827,0.3914737794,975.2547346662,0.3548000002,0
20,13,0,-464.75012094,188.6611464501,1186.9877120456,1186.9877120456,-0.6372040001,0.217273077,501.2942907445,0.1056580003,-1
20,-13,0,-464.75012094,188.6611464501,1186.9877120456,1186.9877120456,-0.3271571831,0.1742007026,473.9604444023,0.1056579999,1
21,32,0,-187.3586769482,385.2617523812,9025.636927323,9025.636927323,-0.0947263707,0.1947838668,237.6265404219,0.3548,0
21,13,0,-187.3586769482,385.2617523812,9025.636927323,9025.636927323,-0.0911528338,0.1034343964,203.9245955136,0.1056579999,-1
21,-13,0,-187.3586769482,385.2617523812,9025.636927323,9025.636927323,-0.0035735368,0.0913494703,33.7019448997,0.105658,1
22,32,0,-260.7654093819,530.4090295038,3104.9651444699,3104.9651444699,-0.2380439802,0.4841925807,429.0472074996,0.3547999999,0
22,13,0,-260.7654093819,530.4090295038,3104.9651444699,3104.9651444699,-0.1183792836,0.2695306758,321.92068079,0.1056580001,-1
22,-13,0,-260.7654093819,530.4090295038,3104.9651444699,3104.9651444699,-0.1196646966,0.2146619049,107.1265266971,0.105658,1
23,32,0,-225.5367486368,290.5434233768,13256.9758188025,13256.9758188025,-0.387855302,0.49964721,808.2584902107,0.3548000002,0
