particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
693,32,0,-187.4614935721,204.8922935175,383381.8871200342,383381.8871200342,-0.1987242292,0.2172022762,498.2377231247,0.3547999999,0
693,13,0,-187.4614935721,204.8922935175,383381.8871200342,383381.8871200342,-0.0896887905,0.0609871817,367.9726762813,0.105658,-1
693,-13,0,-187.4614935721,204.8922935175,383381.8871200342,383381.8871200342,-0.1090354387,0.1562150945,130.2650468116,0.105658,1
694,32,0,-287.5176993335,163.9948040644,138501.6846685629,138501.6846685629,-0.5056089333,0.2883900301,826.509808677,0.3548,0
694,13,0,-287.5176993335,163.9948040644,138501.6846685629,138501.6846685629,-0.0716344761,0.0853125206,102.6435741193,0.1056579999,-1
694,-13,0,-287.5176993335,163.9948040644,138501.6846685629,138501.6846685629,-0.4339744575,0.2030775096,723.8662349599,0.1056579999,1
695,32,0,-350.2558422386,410.1380310641,922814.52083412,922814.52083412,-0.2354049953,0.2756514799,315.8843749186,0.3548,0
695,13,0,-350.2558422386,410.1380310641,922814.52083412,922814.52083412,-0.1843477439,0.3041952672,199.9108286925,0.105658,-1
695,-13,0,-350.2558422386,410.1380310641,922814.52083412,922814.52083412,-0.0510572514,-0.0285437872,115.97354621,0.105658,1
696,32,0,-381.7373102293,328.3124887809,714633.2786672901,714633.2786672901,-0.0684267657,0.0588503171,84.2479344614,0.3548,0
696,13,0,-381.7373102293,328.3124887809,714633.2786672901,714633.2786672901,-0.0804748901,0.1254293054,25.1998862696,0.105658,-1
696,-13,0,-381.7373102293,328.3124887809,714633.2786672901,714633.2786672901,0.0120481244,-0.0665789883,59.0480481917,0.105658,1
697,32,0,-210.0459897677,279.3309262467,751673.9187517414,751673.9187517414,-0.1523017965,0.2025394626,340.7912925717,0.3548,0
697,13,0,-210.0459897677,279.3309262467,751673.9187517414,751673.9187517414,-0.2262161464,0.1412786748,253.2911487192,0.1056580001,-1
697,-13,0,-210.0459897677,279.3309262467,751673.9187517414,751673.9187517414,0.0739143499,0.0612607878,87.5001438313,0.105658,1
698,32,0,-381.7373102293,328.3124887809,263483.8276024685,263483.8276024685,-0.0684267657,0.0588503171,84.2479344614,0.3548,0
698,13,0,-381.7373102293,328.3124887809,263483.8276024685,263483.8276024685,-0.012119193,0.0709467022,11.7481974666,0.105658,-1
698,-13,0,-381.7373102293,328.3124887809,263483.8276024685,263483.8276024685,-0.0563075728,-0.0120963851,72.4997369947,0.105658,1
699,32,0,-381.7373102293,328.3124887809,582525.2784248487,582525.2784248487,-0.0684267657,0.0588503171,84.2479344614,0.3548,0
699,13,0,-381.7373102293,328.3124887809,582525.2784248487,582525.2784248487,0.0578503971,0.0350513766,63.6499893675,0.105658,-1
699,-13,0,-381.7373102293,328.3124887809,582525.2784248487,582525.2784248487,-0.1262771628,0.0237989405,20.5979450938,0.105658,1
700,32,0,-355.7949650103,348.667328078,166050.9373030165,166050.9373030165,-0.1313447968,0.1287135679,173.5045759205,0.3548,0
700,13,0,-355.7949650103,348.667328078,166050.9373030165,166050.9373030165,-0.0217843894,-0.0054028142,123.688198727,0.105658,-1
700,-13,0,-355.7949650103,348.667328078,166050.9373030165,166050.9373030165,-0.1095604075,0.1341163821,49.816377199,0.105658,1
701,32,0,-266.6879841497,364.8008992639,564209.0672908272,564209.0672908272,-0.1829670513,0.2502795357,322.4536508009,0.3548,0
701,13,0,-266.6879841497,364.8008992639,564209.0672908272,564209.0672908272,-0.0460903304,0.2652961706,229.4029359838,0.105658,-1
701,-13,0,-266.6879841497,364.8008992639,564209.0672908272,564209.0672908272,-0.1368767209,-0.0150166349,93.0507148097,0.105658,1
702,32,0,-381.7373102293,328.3124887809,131481.2651733916,131481.2651733916,-0.0684267657,0.0588503171,84.2479344614,0.3548,0
702,13,0,-381.7373102293,328.3124887809,131481.2651733916,131481.2651733916,-0.0872620031,0.1629496897,55.2069133239,0.105658,-1
702,-13,0,-381.7373102293,328.3124887809,131481.2651733916,131481.2651733916,0.0188352374,-0.1040993726,29.0410211373,0.105658,1
703,32,0,-443.0457879467,484.425812319,902641.200671785,902641.200671785,-1.1596661533,1.2679777884,1230.2184263796,0.3548,0
703,13,0,-443.0457879467,484.425812319,902641.200671785,902641.200671785,-0.9270946134,0.9131137381,979.2857261628,0.1056579999,-1
703,-13,0,-443.0457879467,484.425812319,902641.200671785,902641.200671785,-0.2325715386,0.3548640489,250.9326988869,0.1056580001,1
704,32,0,-233.7667199224,235.8180283115,761884.7055381682,761884.7055381682,-0.205707887,0.2075129785,413.5862748915,0.3548,0
704,13,0,-233.7667199224,235.8180283115,761884.7055381682,761884.7055381682,-0.1414401628,-0.0374825892,136.0510295153,0.105658,-1
704,-13,0,-233.7667199224,235.8180283115,761884.7055381682,761884.7055381682,-0.0642677242,0.2449955677,277.5352454254,0.1056579999,1
705,32,0,-381.7373102293,328.3124887809,395336.9391833671,395336.9391833671,-0.0684267657,0.0588503171,84.2479344614,0.3548,0
705,13,0,-381.7373102293,328.3124887809,395336.9391833671,395336.9391833671,-0.0118882372,-0.1076259077,26.5711212575,0.105658,-1
705,-13,0,-381.7373102293,328.3124887809,395336.9391833671,395336.9391833671,-0.0565385286,0.1664762248,57.6768132038,0.105658,1
706,32,0,-210.0459897677,279.3309262467,910274.6523398062,910274.6523398062,-0.1523017965,0.2025394626,340.7912925717,0.3548,0
706,13,0,-210.0459897677,279.3309262467,910274.6523398062,910274.6523398062,-0.2243619293,0.1667543111,256.8543274681,0.105658,-1
706,-13,0,-210.0459897677,279.3309262467,910274.6523398062,910274.6523398062,0.0720601328,0.0357851515,83.9369650824,0.105658,1
707,32,0,-233.6060170724,303.7214314799,898212.3440352748,898212.3440352748,-0.1259790491,0.1637908886,253.4615923871,0.3548,0
707,13,0,-233.6060170724,303.7214314799,898212.3440352748,898212.3440352748,-0.1220133787,0.2151305186,210.4875470979,0.105658,-1
707,-13,0,-233.6060170724,303.7214314799,898212.3440352748,898212.3440352748,-0.0039656704,-0.0513396299,42.9740452924,0.105658,1
708,32,0,-381.7373102293,328.3124887809,916836.1953451481,916836.1953451481,-0.0684267657,0.0588503171,84.2479344614,0.3548,0
708,13,0,-381.7373102293,328.3124887809,916836.1953451481,916836.1953451481,-0.1705043074,0.0307483495,59.2852675421,0.105658,-1
708,-13,0,-381.7373102293,328.3124887809,916836.1953451481,916836.1953451481,0.1020775417,0.0281019676,24.9626669192,0.105658,1
709,32,0,-381.7373102293,328.3124887809,235235.721443064,235235.721443064,-0.0684267657,0.0588503171,84.2479344614,0.3548,0
709,13,0,-381.7373102293,328.3124887809,235235.721443064,235235.721443064,0.0513913169,0.0388749391,65.1299642279,0.105658,-1
709,-13,0,-381.7373102293,328.3124887809,235235.721443064,235235.721443064,-0.1198180826,0.019975378,19.1179702333,0.105658,1
710,32,0,-381.7373102293,328.3124887809,336431.5672735446,336431.5672735446,-0.0684267657,0.0588503171,84.2479344614,0.3548,0
710,13,0,-381.7373102293,328.3124887809,336431.5672735446,336431.5672735446,-0.1475799438,-0.0471033749,53.5945196746,0.105658,-1
710,-13,0,-381.7373102293,328.3124887809,336431.5672735446,336431.5672735446,0.0791531781,0.105953692,30.6534147867,0.105658,1
711,32,0,-243.9226226005,519.75045253,762427.7411937276,762427.7411937276,-0.0753671589,0.1605923817,145.2204977292,0.3548,0
711,13,0,-243.9226226005,519.75045253,762427.7411937276,762427.7411937276,0.0118692824,0.0106756618,102.8043856493,0.105658,-1
711,-13,0,-243.9226226005,519.75045253,762427.7411937276,762427.7411937276,-0.0872364413,0.1499167199,42.4161120797,0.105658,1
712,32,0,-210.0459897677,279.3309262467,919085.3120571602,919085.3120571602,-0.1523017965,0.2025394626,340.7912925717,0.3548,0
712,13,0,-210.0459897677,279.3309262467,919085.3120571602,919085.3120571602,-0.091483011,0.1486833939,298.3208234129,0.105658,-1
712,-13,0,-210.0459897677,279.3309262467,919085.3120571602,919085.3120571602,-0.0608187855,0.0538560686,42.4704691376,0.105658,1
713,32,0,-381.7373102293,328.3124887809,238256.4519073291,238256.4519073291,-0.0684267657,0.0588503171,84.2479344614,0.3548,0
713,13,0,-381.7373102293,328.3124887809,238256.4519073291,238256.4519073291,-0.0276964787,-0.1068525994,47.6642664269,0.105658,-1
713,-13,0,-381.7373102293,328.3124887809,238256.4519073291,238256.4519073291,-0.040730287,0.1657029165,36.5836680344,0.105658,1
714,32,0,-381.7373102293,328.3124887809,611671.0161037731,611671.0161037731,-0.0684267657,0.0588503171,84.2479344614,0.3548,0
714,13,0,-381.7373102293,328.3124887809,611671.0161037731,611671.0161037731,-0.0984734896,0.0840342703,20.0435867399,0.105658,-1
714,-13,0,-381.7373102293,328.3124887809,611671.0161037731,611671.0161037731,0.0300467239,-0.0251839532,64.2043477214,0.105658,1
715,32,0,-138.8347334417,428.7672822953,938935.3434129261,938935.3434129261,-0.3017685396,0.9319604209,1021.5830729775,0.3548,0
715,13,0,-138.8347334417,428.7672822953,938935.3434129261,938935.3434129261,-0.2723430478,0.4216064436,565.2489025735,0.1056579999,-1
