particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
8589,32,0,-108.2341549582,155.3424184705,10169.734214131,10169.734214131,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
8589,13,0,-108.2341549582,155.3424184705,10169.734214131,10169.734214131,-0.2510505634,0.25197356,1037.7194415073,0.1056580016,-1
8589,-13,0,-108.2341549582,155.3424184705,10169.734214131,10169.734214131,-0.9883275781,1.5268364465,4344.2020665199,0.1056579905,1
8590,32,0,-108.2341549582,155.3424184705,11626.1428598541,11626.1428598541,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
8590,13,0,-108.2341549582,155.3424184705,11626.1428598541,11626.1428598541,-0.4637760694,0.9021071296,2606.6194767312,0.1056579949,-1
8590,-13,0,-108.2341549582,155.3424184705,11626.1428598541,11626.1428598541,-0.775602072,0.8767028769,2775.302031296,0.1056580038,1
8591,32,0,-108.2341549582,155.3424184705,3241.128146662,3241.128146662,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
8591,13,0,-108.2341549582,155.3424184705,3241.128146662,3241.128146662,-0.3143463115,0.356511412,998.0494561918,0.1056580005,-1
8591,-13,0,-108.2341549582,155.3424184705,3241.128146662,3241.128146662,-0.9250318299,1.4222985946,4383.8720518353,0.1056579729,1
8592,32,0,-108.2341549582,155.3424184705,8890.0575213872,8890.0575213872,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
8592,13,0,-108.2341549582,155.3424184705,8890.0575213872,8890.0575213872,-0.3991974114,0.6310489551,1561.6813169232,0.1056579994,-1
8592,-13,0,-108.2341549582,155.3424184705,8890.0575213872,8890.0575213872,-0.84018073,1.1477610514,3820.2401911039,0.105658017,1
8593,32,0,-108.2341549582,155.3424184705,7501.6377382198,7501.6377382198,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
8593,13,0,-108.2341549582,155.3424184705,7501.6377382198,7501.6377382198,-0.9595504524,1.4365615296,4022.025655654,0.1056579905,-1
8593,-13,0,-108.2341549582,155.3424184705,7501.6377382198,7501.6377382198,-0.279827689,0.3422484769,1359.8958523732,0.1056580027,1
8594,32,0,-108.2341549582,155.3424184705,12636.9535677624,12636.9535677624,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
8594,13,0,-108.2341549582,155.3424184705,12636.9535677624,12636.9535677624,-1.1206616121,1.5845123041,4838.7576556225,0.1056579377,-1
8594,-13,0,-108.2341549582,155.3424184705,12636.9535677624,12636.9535677624,-0.1187165294,0.1942977024,543.1638524046,0.105658001,1
8595,32,0,-108.2341549582,155.3424184705,13378.2203096915,13378.2203096915,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
8595,13,0,-108.2341549582,155.3424184705,13378.2203096915,13378.2203096915,-0.4112220584,0.7969632797,2398.55755667,0.1056580082,-1
8595,-13,0,-108.2341549582,155.3424184705,13378.2203096915,13378.2203096915,-0.828156083,0.9818467268,2983.3639513571,0.1056579994,1
8596,32,0,-108.2341549582,155.3424184705,322.2693865737,322.2693865737,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
8596,13,0,-108.2341549582,155.3424184705,322.2693865737,322.2693865737,-0.4797780558,0.4859360383,1575.2854427261,0.105658006,-1
8596,-13,0,-108.2341549582,155.3424184705,322.2693865737,322.2693865737,-0.7596000856,1.2928739683,3806.636065301,0.1056579905,1
8597,32,0,-108.2341549582,155.3424184705,3028.16765231,3028.16765231,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
8597,13,0,-108.2341549582,155.3424184705,3028.16765231,3028.16765231,-0.6259275026,1.1164231295,3301.4652248196,0.105658017,-1
8597,-13,0,-108.2341549582,155.3424184705,3028.16765231,3028.16765231,-0.6134506388,0.662386877,2080.4562832076,0.1056579994,1
8598,32,0,-108.2341549582,155.3424184705,14981.19603259,14981.19603259,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
8598,13,0,-108.2341549582,155.3424184705,14981.19603259,14981.19603259,-0.6849836781,0.7576666576,2373.5954456706,0.105658017,-1
8598,-13,0,-108.2341549582,155.3424184705,14981.19603259,14981.19603259,-0.5543944633,1.0211433489,3008.3260623566,0.1056579994,1
8599,32,0,-108.2341549582,155.3424184705,1527.0932846714,1527.0932846714,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
8599,13,0,-108.2341549582,155.3424184705,1527.0932846714,1527.0932846714,-0.1041129843,0.1964268992,574.2721275162,0.1056580021,-1
8599,-13,0,-108.2341549582,155.3424184705,1527.0932846714,1527.0932846714,-1.1352651571,1.5823831074,4807.6493805109,0.1056580082,1
8600,32,0,-108.2341549582,155.3424184705,9060.0922875131,9060.0922875131,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
8600,13,0,-108.2341549582,155.3424184705,9060.0922875131,9060.0922875131,-0.2337927987,0.5312675886,1374.2840830521,0.1056580016,-1
8600,-13,0,-108.2341549582,155.3424184705,9060.0922875131,9060.0922875131,-1.0055853427,1.2475424179,4007.637424975,0.1056579994,1
8601,32,0,-108.2341549582,155.3424184705,5620.992334618,5620.992334618,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
8601,13,0,-108.2341549582,155.3424184705,5620.992334618,5620.992334618,-0.1193090873,0.2589927074,824.7131337562,0.1056580016,-1
8601,-13,0,-108.2341549582,155.3424184705,5620.992334618,5620.992334618,-1.1200690542,1.5198172991,4557.208374271,0.1056580258,1
8602,32,0,-108.2341549582,155.3424184705,5140.8329151694,5140.8329151694,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
8602,13,0,-108.2341549582,155.3424184705,5140.8329151694,5140.8329151694,-0.4926445885,0.4854649468,1715.6403373032,0.1056580038,-1
8602,-13,0,-108.2341549582,155.3424184705,5140.8329151694,5140.8329151694,-0.7467335529,1.2933450598,3666.2811707239,0.1056580082,1
8603,32,0,-108.2341549582,155.3424184705,15224.3174427313,15224.3174427313,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
8603,13,0,-108.2341549582,155.3424184705,15224.3174427313,15224.3174427313,-0.2600106335,0.2447503725,986.1969503501,0.1056580021,-1
8603,-13,0,-108.2341549582,155.3424184705,15224.3174427313,15224.3174427313,-0.9793675079,1.5340596341,4395.7245576771,0.1056580082,1
8604,32,0,-108.2341549582,155.3424184705,1370.7877061343,1370.7877061343,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
8604,13,0,-108.2341549582,155.3424184705,1370.7877061343,1370.7877061343,-0.6523839634,1.1361461809,3415.1046389133,0.105658017,-1
8604,-13,0,-108.2341549582,155.3424184705,1370.7877061343,1370.7877061343,-0.586994178,0.6426638256,1966.8168691138,0.1056579994,1
8605,32,0,-108.2341549582,155.3424184705,16281.9859180539,16281.9859180539,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
8605,13,0,-108.2341549582,155.3424184705,16281.9859180539,16281.9859180539,-0.6905397067,1.0502064757,2775.6429272854,0.1056579994,-1
8605,-13,0,-108.2341549582,155.3424184705,16281.9859180539,16281.9859180539,-0.5488384347,0.7286035308,2606.2785807418,0.1056579994,1
