particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
9760,32,0,-233.2479068997,220.4555599276,7301.2219623162,7301.2219623162,-0.086214699,0.0814863035,173.7246393581,0.3548,0
9760,13,0,-233.2479068997,220.4555599276,7301.2219623162,7301.2219623162,-0.1077813629,0.0490940293,35.2786096357,0.105658,-1
9760,-13,0,-233.2479068997,220.4555599276,7301.2219623162,7301.2219623162,0.0215666639,0.0323922742,138.4460297187,0.105658,1
9761,32,0,-208.908433312,391.3857406191,12794.8383522847,12794.8383522847,-0.0877044557,0.1643125307,197.3165636904,0.3548,0
9761,13,0,-208.908433312,391.3857406191,12794.8383522847,12794.8383522847,-0.0861371656,-0.0193939136,35.3387578798,0.105658,-1
9761,-13,0,-208.908433312,391.3857406191,12794.8383522847,12794.8383522847,-0.0015672901,0.1837064443,161.9778058093,0.105658,1
9762,32,0,-331.4503409513,293.7208396716,19646.9747324402,19646.9747324402,-0.1775082507,0.157302214,251.7085292863,0.3548,0
9762,13,0,-331.4503409513,293.7208396716,19646.9747324402,19646.9747324402,0.0096136134,-0.0575968154,60.7191904724,0.105658,-1
9762,-13,0,-331.4503409513,293.7208396716,19646.9747324402,19646.9747324402,-0.1871218641,0.2148990294,190.9893388183,0.105658,1
9763,32,0,-331.4503409513,293.7208396716,981.6455365805,981.6455365805,-0.1775082507,0.157302214,251.7085292863,0.3548,0
9763,13,0,-331.4503409513,293.7208396716,981.6455365805,981.6455365805,-0.1255285181,0.017822749,48.6855840499,0.105658,-1
9763,-13,0,-331.4503409513,293.7208396716,981.6455365805,981.6455365805,-0.0519797327,0.139479465,203.0229452409,0.105658,1
9764,32,0,-303.3629195662,161.5948330526,13041.1185443353,13041.1185443353,-0.144673614,0.0770644894,224.1427484927,0.3548,0
9764,13,0,-303.3629195662,161.5948330526,13041.1185443353,13041.1185443353,0.049616743,0.1166318091,103.51234215,0.105658,-1
9764,-13,0,-303.3629195662,161.5948330526,13041.1185443353,13041.1185443353,-0.194290357,-0.0395673197,120.6304063427,0.105658,1
9765,32,0,-303.3629195662,161.5948330526,11986.4961830567,11986.4961830567,-0.144673614,0.0770644894,224.1427484927,0.3548,0
9765,13,0,-303.3629195662,161.5948330526,11986.4961830567,11986.4961830567,-0.1737229894,0.0709532816,77.3692341975,0.105658,-1
9765,-13,0,-303.3629195662,161.5948330526,11986.4961830567,11986.4961830567,0.0290493754,0.0061112078,146.7735142952,0.105658,1
9766,32,0,-128.7760168751,322.0686658318,14717.7391259176,14717.7391259176,-0.0960043594,0.2401067893,350.3917113084,0.3548,0
9766,13,0,-128.7760168751,322.0686658318,14717.7391259176,14717.7391259176,-0.0156742679,0.1449049483,71.3009305563,0.105658,-1
9766,-13,0,-128.7760168751,322.0686658318,14717.7391259176,14717.7391259176,-0.0803300915,0.095201841,279.0907807466,0.1056579999,1
9767,32,0,-303.3629195662,161.5948330526,7840.8996203969,7840.8996203969,-0.144673614,0.0770644894,224.1427484927,0.3548,0
9767,13,0,-303.3629195662,161.5948330526,7840.8996203969,7840.8996203969,0.0086040826,-0.0309353644,27.334040208,0.105658,-1
