particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
8,13,0,-280.5826390304,479.5923416747,2528.2113465793,2528.2113465793,-0.0776835832,0.0645311752,54.9028328188,0.105658,-1
8,-13,0,-280.5826390304,479.5923416747,2528.2113465793,2528.2113465793,-0.1964194905,0.4039858201,404.2433391707,0.1056579996,1
9,32,0,-197.4875261604,308.119554834,99.5729148693,99.5729148693,-0.0518625652,0.0809158472,123.4275708481,0.3548,0
9,13,0,-197.4875261604,308.119554834,99.5729148693,99.5729148693,-0.006089621,0.0466927466,13.8949530201,0.105658,-1
9,-13,0,-197.4875261604,308.119554834,99.5729148693,99.5729148693,-0.0457729441,0.0342231006,109.5326178281,0.105658,1
10,32,0,-177.5514303689,421.028512547,882.4716535738,882.4716535738,-0.3872115861,0.9181965912,1024.9956594686,0.3548,0
10,13,0,-177.5514303689,421.028512547,882.4716535738,882.4716535738,-0.1827219046,0.1884406531,219.5488376564,0.1056579998,-1
10,-13,0,-177.5514303689,421.028512547,882.4716535738,882.4716535738,-0.2044896812,0.7297559375,805.4468211793,0.1056579994,1
11,32,0,-407.734216401,372.760962947,2850.2414624686,2850.2414624686,-0.5435547725,0.4969315605,626.5619435688,0.3547999999,0
11,13,0,-407.734216401,372.760962947,2850.2414624686,2850.2414624686,-0.1346062596,0.0099189208,117.2092187025,0.105658,-1
11,-13,0,-407.734216401,372.760962947,2850.2414624686,2850.2414624686,-0.4089485129,0.4870126397,509.3527248459,0.1056579999,1
12,32,0,-197.4875261604,308.119554834,2333.5829072052,2333.5829072052,-0.0518625652,0.0809158472,123.4275708481,0.3548,0
12,13,0,-197.4875261604,308.119554834,2333.5829072052,2333.5829072052,0.0144990169,0.1768727167,61.2863550885,0.105658,-1
12,-13,0,-197.4875261604,308.119554834,2333.5829072052,2333.5829072052,-0.066361582,-0.0959568695,62.1412157597,0.105658,1
13,32,0,-280.5826390304,479.5923416747,2267.0958524513,2267.0958524513,-0.2741030737,0.4685169953,459.1461719828,0.3547999999,0
13,13,0,-280.5826390304,479.5923416747,2267.0958524513,2267.0958524513,-0.2914996598,0.2732270769,338.5939115273,0.1056579998,-1
13,-13,0,-280.5826390304,479.5923416747,2267.0958524513,2267.0958524513,0.0173965861,0.1952899185,120.5522604622,0.105658,1
14,32,0,-407.734216401,372.760962947,2555.487231189,2555.487231189,-0.5435547725,0.4969315605,626.5619435688,0.3547999999,0
14,13,0,-407.734216401,372.760962947,2555.487231189,2555.487231189,-0.3440831104,0.2165666594,241.7589810343,0.105658,-1
14,-13,0,-407.734216401,372.760962947,2555.487231189,2555.487231189,-0.1994716621,0.280364901,384.8029625141,0.1056580003,1
15,32,0,-451.5497306905,469.9728360837,897.1740213298,897.1740213298,-0.1698303499,0.1767593816,176.7695981456,0.3548,0
15,13,0,-451.5497306905,469.9728360837,897.1740213298,897.1740213298,-0.044324678,0.2286075664,116.3710700055,0.105658,-1
15,-13,0,-451.5497306905,469.9728360837,897.1740213298,897.1740213298,-0.1255056718,-0.0518481847,60.3985281408,0.105658,1
16,32,0,-197.4875261604,308.119554834,2872.2499119885,2872.2499119885,-0.0518625652,0.0809158472,123.4275708481,0.3548,0
16,13,0,-197.4875261604,308.119554834,2872.2499119885,2872.2499119885,-0.1164280382,0.0249071796,28.1256017545,0.105658,-1
16,-13,0,-197.4875261604,308.119554834,2872.2499119885,2872.2499119885,0.064565473,0.0560086676,95.3019690938,0.105658,1
17,32,0,-197.4875261604,308.119554834,2375.6590328591,2375.6590328591,-0.0518625652,0.0809158472,123.4275708481,0.3548,0
17,13,0,-197.4875261604,308.119554834,2375.6590328591,2375.6590328591,-0.1464463208,0.0439690847,41.4855450168,0.105658,-1
17,-13,0,-197.4875261604,308.119554834,2375.6590328591,2375.6590328591,0.0945837557,0.0369467625,81.9420258314,0.105658,1
18,32,0,-159.2686118368,186.5659570216,681.8532725511,681.8532725511,-0.5068860335,0.5937621786,1495.8153586841,0.3548000007,0
18,13,0,-159.2686118368,186.5659570216,681.8532725511,681.8532725511,-0.0499339984,0.026434603,243.5002627489,0.1056579999,-1
18,-13,0,-159.2686118368,186.5659570216,681.8532725511,681.8532725511,-0.4569520348,0.5673275751,1252.3150949809,0.1056579972,1
19,32,0,-459.0951685176,318.3709677647,218.4561495286,218.4561495286,-1.0292942581,0.7137897141,1053.7429589828,0.3548000004,0
19,13,0,-459.0951685176,318.3709677647,218.4561495286,218.4561495286,-0.3612904068,0.2612381097,494.2961164538,0.1056580003,-1
19,-13,0,-459.0951685176,318.3709677647,218.4561495286,218.4561495286,-0.6680038526,0.4525516053,559.4468438128,0.1056579999,1
20,32,0,-81.0992914964,512.0297694892,1123.5477018561,1123.5477018561,-0.100072327,0.6318182265,579.9556669018,0.3548000001,0
20,13,0,-81.0992914964,512.0297694892,1123.5477018561,1123.5477018561,0.023193969,0.0461738263,125.1818233691,0.105658,-1
20,-13,0,-81.0992914964,512.0297694892,1123.5477018561,1123.5477018561,-0.123266296,0.5856444003,454.7738436524,0.105658,1
21,32,0,-357.9977974772,193.6132951522,1960.754029551,1960.754029551,-0.9967449835,0.5390622011,1308.5838671393,0.3548000007,0
21,13,0,-357.9977974772,193.6132951522,1960.754029551,1960.754029551,-0.2613406096,0.2878907713,431.7685743206,0.1056580003,-1
21,-13,0,-357.9977974772,193.6132951522,1960.754029551,1960.754029551,-0.7354043729,0.2511714292,876.8152914694,0.1056580005,1
